sutta,character,character_id,presence,role,type,aliases
mn115,Brahmā,,mentioned,,,
mn116,Buddha,Buddha,present,teacher,,
mn116,arittha,,,,,
mn116,uparittha,,,,,
mn116,tagarasikin,,,,,
mn116,yasassin,,,,,
mn116,sudassana,,,,,
mn116,piyadassin,,,,,
mn116,gandhara,,,,,
mn116,pindola,,,,,
mn116,upasabha,,,,,
mn116,nitha,,,,,
mn116,tatha,,,,,
mn116,sutava,,,,,
mn116,bhavitatta,,,,,
mn116,sumbha,,,,,
mn116,subha,,,,,
mn116,methula,,,,,
mn116,atthama,,,,,
mn116,assumegha,,,,,
mn116,anigha,,,,,
mn116,sudatha,,,,,
mn116,hingu,,,,,
mn116,hinga,,,,,
mn116,jali,,,,,
mn116,atthaka,,,,,
mn116,kosala,,,,,
mn116,subahu,,,,,
mn116,upanemi,,,,,
mn116,nemi,,,,,
mn116,santacitta,,,,,
mn116,kala,,,,,
mn116,upakala,,,,,
mn116,vijita,,,,,
mn116,jita,,,,,
mn116,anga,,,,,
mn116,panga,,,,,
mn116,guttijita,,,,,
mn116,passin,,,,,
mn116,aparajita,,,,,
mn116,satthar,,,,,
mn116,pavattar,,,,,
mn116,sarabhanga,,,,,
mn116,lomahamsa,,,,,
mn116,uccangamaya,,,,,
mn116,asita,,,,,
mn116,anasava,,,,,
mn116,manomaya,,,,,
mn116,bandhumant,,,,,
mn116,tadadhimutta,,,,,
mn116,ketumbaraga,,,,,
mn116,matanga,,,,,
mn116,ariya,,,,,
mn116,accuta,,,,,
mn116,accutagama,,,,,
mn116,byamaka,,,,,
mn116,sumangala,,,,,
mn116,dabbila,,,,,
mn116,supatitthita,,,,,
mn116,asayha,,,,,
mn116,khemabhirata,,,,,
mn116,sorata,,,,,
mn116,durannaya,,,,,
mn116,sangha,,,,,
mn116,ujjaya,,,,,
mn116,sayha,,,,,
mn116,upananda,Upananda2,,,,
mn116,nanda,Nanda7,,,,
mn116,bharadvaja,Bhāradvāja7,,,,
mn116,bodhi,,,,,
mn116,mahanama,,,,,
mn116,kesin,,,,,
mn116,sikhin,,,,,
mn116,sundara,,,,,
mn116,tissa,,,,,
mn116,upatissa,,,,,
mn116,upasidarin,,,,,
mn116,sidarin,,,,,
mn116,mangala,,,,,
mn116,usabha,,,,,
mn116,upanita,,,,,
mn116,uposatha,,,,,
mn116,sundara,,,,,
mn116,saccanama,,,,,
mn116,jeta,,,,,
mn116,jayanta,,,,,
mn116,paduma,,,,,
mn116,uppala,,,,,
mn116,padumuttara,,,,,
mn116,rakkhita,,,,,
mn116,pabbata,,,,,
mn116,manatthaddha,,,,,
mn116,kanha,,,,,
mn117,Buddha,Buddha,present,teacher,,
mn117,vassa,Vassa,mentioned,,,
mn117,bhanna,Bhañña,mentioned,,,
mn118,Buddha,Buddha,present,teacher,,
mn118,Sāriputta,Sāriputta,present,listener,,
mn118,Mahāmoggallāna,Mahāmoggallāna,present,listener,,Moggallāna
mn118,mahakassapa,Mahākassapa,present,listener,,
mn118,Mahākaccāna,Mahākaccāyana,present,listener,,
mn118,mahakotthita,Mahākoṭṭhita,present,listener,,
mn118,mahakappina,Mahākappina,present,listener,,
mn118,Mahācunda,Cunda2,present,listener,,
mn118,anuruddha,Anuruddha,present,listener,,
mn118,revata,Revata1,present,listener,,
mn118,Ānanda,Ānanda,present,listener,,
mn119,Buddha,Buddha,present,teacher,,
mn119,Māra,Māra,mentioned,,,
mn120,Buddha,Buddha,present,teacher,,
mn121,Buddha,Buddha,present,teacher,,
mn121,Ānanda,Ānanda,present,speaker,,
mn122,Buddha,Buddha,present,teacher,,
mn122,Kāḷakhemaka,Kālakhemaka,mentioned,,,
mn122,Ānanda,Ānanda,present,speaker,,
mn122,Ghaṭa,Ghaṭāya,mentioned,,,
mn123,Buddha,Buddha,present,teacher,,
mn123,Ānanda,Ānanda,present,speaker,,
mn124,Bakkula,Bakkula,present,teacher,,
mn124,Kassapa,Acelakassapa1,present,speaker,,
mn125,Buddha,Buddha,present,teacher,,
mn125,Aciravata,Aciravata,present,speaker,,
mn125,Jayasena,Jayasena,present,speaker,,
mn126,Buddha,Buddha,present,teacher,,
mn126,Bhūmija,Bhūmija,present,speaker,,
mn126,Jayasena,Jayasena,present,speaker,,
mn127,Buddha,Buddha,mentioned,,,
mn127,Pañcakaṅga,Pañcakaṅga,present,speaker,,
mn127,Anuruddha,Anuruddha,present,teacher,,
mn127,Abhiya Kaccāna,,present,speaker,,
mn128,Buddha,Buddha,present,teacher,,
mn128,Bhagu,,present,speaker,,
mn128,Anuruddha,Anuruddha,present,speaker,,
mn128,Nandiya,Nandiya1,present,speaker,,
mn128,Kimbila,Kimbila,present,speaker,,
mn129,Buddha,Buddha,present,teacher,,
mn130,Buddha,Buddha,present,teacher,,
mn130,Yama,Yama,present,speaker,,
mn131,Buddha,Buddha,present,teacher,,
mn132,Buddha,Buddha,present,teacher,,
mn132,Ānanda,Ānanda,present,teacher,,
mn133,Buddha,Buddha,present,teacher,,
mn133,Samiddhi,Samiddhi,present,speaker,,
mn133,Mahākaccāna,Mahākaccāyana,present,teacher,,
mn134,Buddha,Buddha,present,teacher,,
mn134,Lomasakaṅgiya,Lomasakaṅgiya,present,speaker,,
mn134,Candana,Candana1,present,speaker,,
mn135,Buddha,Buddha,present,teacher,,
mn135,Subha,Subha2,present,speaker,,
mn135,Todeyya,Todeyya1,mentioned,,,
